# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	50309
#@/user_id	d1e9347d-3da2-40c9-ae30-f3f46160b0bf
a 	啊	c=268 d=4.75122 t=50309
xie wan 	寫完	c=3 d=4.09931e-39 t=50309
xie xi 	歇息	c=1 d=3.24411e-51 t=50309
xie xie 	謝謝	c=6 d=8.40971e-21 t=50309
xie xie ni 	謝謝你	c=1 d=9.37516e-36 t=50309
xie yi 	協議	c=8 d=1.07007e-32 t=50309
xie zai 	卸載	c=2 d=2.21708e-14 t=50309
xie zai 	寫在	c=4 d=0.955997 t=50309
xie zhu 	協助	c=2 d=3.40556e-26 t=50309
xie zuo 	協作	c=2 d=7.09427e-21 t=50309
xin 	信	c=1 d=1.39671e-19 t=50309
xin 	新	c=58 d=1.19848 t=50309
xin 	欣	c=7 d=0.00621991 t=50309
xin 	薪	c=1 d=1.44764e-58 t=50309
xin ban 	新版	c=1 d=2.93939e-67 t=50309
xin bu tiao 	心不跳	c=1 d=0.0327124 t=50309
xin de 	心得	c=2 d=2.22206e-11 t=50309
xin de 	新的	c=3 d=2.4872e-43 t=50309
xin dong 	心動	c=2 d=0.0212281 t=50309
xin fang fa 	新方法	c=8 d=1.4926 t=50309
xin gong neng 	新功能	c=1 d=2.11585e-23 t=50309
xin han 	心寒	c=1 d=1.28333e-23 t=50309
xin hao 	信號	c=1 d=3.26248e-88 t=50309
xin jia 	新加	c=4 d=5.78739e-08 t=50309
xin jia 	新家	c=1 d=9.45136e-43 t=50309
xin jian 	新建	c=46 d=1.28687 t=50309
xin jiang 	新疆	c=2 d=5.02608e-46 t=50309
xin kai 	新開	c=4 d=0.0500366 t=50309
xin ku 	辛苦	c=4 d=1.9594e-53 t=50309
xin lai 	信賴	c=1 d=2.503e-88 t=50309
xin lai 	新來	c=1 d=2.51554e-88 t=50309
xin lao 	新老	c=5 d=2.58438 t=49786
xin li 	心理	c=8 d=9.35125e-06 t=50309
xin li 	心裏	c=2 d=1.18446e-21 t=50309
xin liang 	新良	c=1 d=1.54486e-58 t=50309
xin ni 	信你	c=1 d=2.99733e-32 t=50309
xin qing 	心情	c=2 d=0.00458484 t=50309
xin ren 	信任	c=3 d=1.34913e-23 t=50309
xin ren 	新人	c=5 d=0.00222055 t=50309
xin shang 	欣賞	c=4 d=7.31382e-56 t=50309
xin shou 	新手	c=2 d=1.0908e-73 t=50309
xin si 	心思	c=1 d=1.30872e-77 t=50309
xin tai 	心態	c=2 d=0.0042963 t=50309
xin tiao 	心跳	c=1 d=1.07843e-06 t=50309
xin tong 	心痛	c=1 d=1.22728e-27 t=50309
xin xi 	信息	c=111 d=2.01768 t=50309
xin xian 	新鮮	c=1 d=2.54957e-99 t=50309
xin xin 	心心	c=1 d=1.06807e-10 t=50309
xin xin 	欣欣	c=1 d=0.00161245 t=50309
xin xing 	新型	c=1 d=7.34776e-81 t=50309
xin xu 	心虛	c=1 d=2.57413e-06 t=50309
xin xue 	新學	c=1 d=1.41162e-85 t=50309
xin yong hu 	新用戶	c=1 d=1.73876e-96 t=50309
xin zang 	心臟	c=1 d=4.95693e-68 t=50309
xin zeng 	新增	c=28 d=3.81372e-13 t=50309
xin zhong 	心中	c=2 d=0.170414 t=50309
xin zi 	薪資	c=1 d=8.09677e-76 t=50309
xing 	刑	c=2 d=0.0968105 t=50309
xing 	性	c=13 d=0.00337966 t=50309
xing 	星	c=1 d=5.12929e-29 t=50309
xing 	行	c=65 d=3.5997e-10 t=50309
xing 	醒	c=6 d=3.4909e-18 t=50309
xing ba 	行吧	c=43 d=0.0130385 t=50309
xing bie 	性別	c=1 d=7.55759e-30 t=50309
xing bu 	刑部	c=1 d=4.53646e-84 t=50309
xing cheng 	形成	c=3 d=1.92639e-37 t=50309
xing fen 	興奮	c=1 d=6.36828e-45 t=50309
xing fu 	幸福	c=2 d=1.74491e-20 t=50309
xing gan 	性感	c=1 d=6.20345e-60 t=50309
xing hao 	型號	c=1 d=6.57228e-63 t=50309
xing hao 	幸好	c=2 d=0.000121572 t=50309
xing ji 	星際	c=1 d=1.15475e-75 t=50309
xing ku 	行哭	c=1 d=1.22112e-56 t=50309
xing le 	行了	c=3 d=1.0536e-26 t=50309
xing le 	醒了	c=2 d=1.93917e-44 t=50309
xing ming 	姓名	c=1 d=2.88168e-69 t=50309
xing neng 	性能	c=4 d=1.50518e-46 t=50309
xing qi 	星期	c=9 d=1.04962e-28 t=50309
xing qi liu 	星期六	c=11 d=0.00202943 t=50309
xing qi si 	星期四	c=2 d=1.10373e-28 t=50309
xing qi tian 	星期天	c=7 d=0.0020396 t=50309
xing qi wu 	星期五	c=1 d=1.45519e-31 t=50309
xing qi yi 	星期一	c=1 d=1.02948e-77 t=50309
xing qu 	興趣	c=4 d=0.34531 t=50309
xing wei 	行爲	c=3 d=0.000518277 t=50309
xing xiang 	形象	c=1 d=3.71047e-43 t=50309
xing xing 	星星	c=1 d=0.079659 t=50309
xing xing 	醒醒	c=1 d=0.0668703 t=50309
xing yao 	星曜	c=1 d=1 t=49431
xing zi 	性子	c=1 d=0.0163259 t=50309
xiong 	兇	c=5 d=0.57695 t=50309
xiong 	熊	c=1 d=5.3866e-46 t=50309
xiong di 	兄弟	c=4 d=6.63989e-07 t=50309
xiong di men 	兄弟們	c=4 d=5.96973e-20 t=50309
xiong mao 	熊貓	c=1 d=5.71793e-14 t=50309
xiong mao tou 	熊貓頭	c=1 d=5.74659e-13 t=50309
xiong tong 	胸痛	c=1 d=6.0109e-42 t=50309
xiu 	休	c=2 d=2.70225e-48 t=50309
xiu 	秀	c=6 d=0.00214418 t=50309
xiu er 	秀兒	c=1 d=4.0354e-60 t=50309
xiu fu 	修復	c=37 d=0.0490458 t=50309
xiu gai 	修改	c=93 d=0.105399 t=50309
xiu hao 	修好	c=1 d=1.09753e-36 t=50309
xiu shi 	修飾	c=1 d=1.2389e-79 t=50309
xiu xi 	休息	c=4 d=0.000342239 t=50309
xiu zi 	袖子	c=2 d=2.89316e-20 t=50309
xu 	序	c=4 d=4.2579e-15 t=50309
xu 	徐	c=3 d=6.78197e-06 t=50309
xu 	續	c=2 d=2.83404e-20 t=50309
xu 	虛	c=1 d=1.10544e-91 t=50309
xu 	許	c=2 d=4.00082e-47 t=50309
xu duo 	許多	c=1 d=1.25331e-68 t=50309
xu fei 	續費	c=3 d=2.39586e-44 t=50309
xu hao 	序號	c=7 d=7.50425e-50 t=50309
xu jiu 	酗酒	c=1 d=1.38441e-62 t=50309
xu lie 	序列	c=1 d=8.85233e-08 t=50309
xu lie hua 	序列化	c=6 d=7.90989e-31 t=50309
xu ni 	虛擬	c=1 d=1.59322e-97 t=50309
xu ni ji 	虛擬機	c=3 d=1.22807e-64 t=50309
xu pang 	虛胖	c=1 d=2.73405e-68 t=50309
xu qiu 	需求	c=22 d=0.154457 t=50309
xu ruo 	虛弱	c=1 d=1.3638e-62 t=50309
xu yan 	序言	c=3 d=3.13263e-22 t=50309
xu yao 	需要	c=122 d=1.43219 t=50309
xuan 	選	c=25 d=0.683923 t=50309
xuan chuan 	宣傳	c=1 d=7.572e-23 t=50309
xuan ge 	選個	c=1 d=4.16636e-24 t=50309
xuan hao 	選好	c=1 d=2.74224e-15 t=50309
xuan ran 	渲染	c=5 d=1.36286e-17 t=50309
xuan shou 	選手	c=1 d=1.23848e-75 t=50309
xuan xiang 	選項	c=1 d=2.13545e-102 t=50309
xuan ze 	選擇	c=18 d=1.55299 t=50309
xuan ze xing 	選擇性	c=1 d=2.57763e-22 t=50309
xuan zhong 	選中	c=3 d=2.33989e-60 t=50309
xue 	學	c=42 d=0.0165728 t=50309
xue 	血	c=1 d=0.0833256 t=50309
xue 	雪	c=2 d=2.86886e-46 t=50309
xue cheng 	學成	c=1 d=1.87418e-96 t=50309
xue dao 	學到	c=8 d=2.06249e-46 t=50309
xue di 	學弟	c=4 d=2.66598e-06 t=50309
xue hao 	學好	c=1 d=8.63438e-97 t=50309
xue hua 	雪花	c=1 d=2.71533e-46 t=50309
xue hui 	學會	c=1 d=8.91885e-96 t=50309
xue li 	學歷	c=4 d=0.00257991 t=50309
xue mei 	學妹	c=4 d=0.00647375 t=50309
xue qi lai 	學起來	c=1 d=8.3712e-27 t=50309
xue sheng 	學生	c=2 d=2.3126e-69 t=50309
xue wo 	學我	c=1 d=4.25052e-24 t=50309
xue xi 	學習	c=2 d=1.38512e-68 t=50309
xue xiao 	學校	c=15 d=0.367898 t=50309
xue xue 	學學	c=1 d=1.25245e-60 t=50309
xue ye 	血液	c=1 d=2.56235e-99 t=50309
xue yi 	學醫	c=1 d=6.8405e-63 t=50309
xue yuan 	學院	c=2 d=1.98511 t=49219
xue zhan 	血戰	c=1 d=2.21084e-69 t=50309
xue zhang 	學長	c=1 d=6.23454e-60 t=50309
xue zhi qian 	薛之謙	c=2 d=0.000320374 t=50309
xun fang 	尋訪	c=4 d=1.09604e-20 t=50309
xun huan 	循環	c=7 d=6.53003e-12 t=50309
xun lian 	訓練	c=1 d=9.46746e-63 t=50309
xun su 	迅速	c=1 d=2.01041e-98 t=50309
ya 	丫	c=52 d=0.609266 t=50309
ya 	呀	c=6 d=6.69614e-18 t=50309
ya gao 	牙膏	c=1 d=1.42347e-07 t=50309
ya li 	壓力	c=4 d=6.01458e-41 t=50309
ya long 	亞龍	c=24 d=9.64609e-19 t=50309
ya qian 	牙籤	c=1 d=3.47874e-49 t=50309
ya suo 	壓縮	c=14 d=7.22196e-09 t=50309
ya suo bao 	壓縮包	c=2 d=6.08061e-60 t=50309
yan 	嚴	c=1 d=3.16088e-10 t=50309
yan 	煙	c=1 d=1.67677e-22 t=50309
yan 	眼	c=3 d=5.19867e-40 t=50309
yan 	言	c=4 d=1.67491e-17 t=50309
yan 	驗	c=1 d=1.30539e-47 t=50309
yan chang hui 	演唱會	c=1 d=1.606e-44 t=50309
yan chi 	延遲	c=3 d=7.44403e-28 t=50309
yan fa 	研發	c=2 d=1.77611e-94 t=50309
yan ge 	嚴格	c=2 d=4.79022e-80 t=50309
yan guang 	眼光	c=1 d=2.67036e-26 t=50309
yan jiang 	演講	c=1 d=1.93341e-21 t=50309
yan jing 	眼睛	c=2 d=1.60239e-54 t=50309
yan jing 	眼鏡	c=1 d=1 t=49471
yan jiu 	研究	c=5 d=2.17318e-14 t=50309
yan jiu sheng 	研究生	c=5 d=1.61066e-89 t=50309
yan li 	眼裏	c=1 d=4.10044e-101 t=50309
yan lian 	演練	c=1 d=8.91429e-90 t=50309
yan mi 	嚴密	c=3 d=1.99871e-89 t=50309
yan qi 	延期	c=2 d=2.58739e-37 t=50309
yan se 	顏色	c=2 d=1.76815e-58 t=50309
yan shen 	眼神	c=2 d=1.1785e-05 t=50309
yan shi 	演示	c=5 d=6.66621e-15 t=50309
yan su 	嚴肅	c=2 d=1.1145e-40 t=50309
yan zheng 	驗證	c=11 d=0.0968492 t=50309
yan zhong 	嚴重	c=6 d=2.78701e-29 t=50309
yan zhong 	眼中	c=2 d=1.00916e-19 t=50309
yang 	樣	c=6 d=0.00047367 t=50309
yang 	洋	c=1 d=2.35931e-69 t=50309
yang 	陽	c=1 d=2.34755e-69 t=50309
yang 	養	c=2 d=6.18954e-26 t=50309
yang cheng 	養成	c=2 d=1.77328e-92 t=50309
yang guang 	陽光	c=1 d=5.17644e-19 t=50309
yang huo 	養活	c=1 d=7.86469e-28 t=50309
yang jia 	楊佳	c=2 d=1.38521e-10 t=50309
yang li 	樣例	c=2 d=2.14666e-46 t=50309
yang yang 	陽陽	c=2 d=1.40493e-19 t=50309
yang zi 	樣子	c=4 d=7.78378e-24 t=50309
yao 	咬	c=2 d=6.76322e-47 t=50309
yao 	搖	c=1 d=2.5187e-44 t=50309
yao 	藥	c=9 d=0.00241954 t=50309
yao 	要	c=14 d=2.00076e-96 t=50309
yao bu 	要不	c=8 d=5.28377e-10 t=50309
yao bu de 	要不得	c=1 d=6.96992e-107 t=50309
yao da 	要打	c=1 d=2.33544e-67 t=50309
yao de 	要得	c=3 d=0.000132444 t=50309
yao deng 	要等	c=1 d=3.32917e-32 t=50309
yao dian 	要點	c=2 d=4.62835e-29 t=50309
yao gao 	要高	c=1 d=3.724e-27 t=50309
yao hua 	要花	c=1 d=6.38714e-21 t=50309
yao jia 	要加	c=1 d=7.58985e-80 t=50309
yao jin 	要緊	c=1 d=9.573e-17 t=50309
yao kai 	要開	c=2 d=1.70212e-22 t=50309
yao ming 	要命	c=1 d=2.32031e-20 t=50309
yao na 	要拿	c=1 d=0.00098783 t=50309
yao qing 	邀請	c=2 d=9.90523e-36 t=50309
yao qiu 	要求	c=2 d=3.15211e-65 t=50309
yao qu 	要去	c=1 d=1.61257e-92 t=50309
yao shi 	要是	c=12 d=1.72045e-06 t=50309
yao shui 	藥水	c=1 d=7.16899e-56 t=50309
yao si 	要死	c=1 d=1.8235e-97 t=50309
yao ting 	要聽	c=1 d=1 t=49432
yao wen 	要問	c=1 d=2.0046e-64 t=50309
yao yao 	搖搖	c=0 d=6.07667e-24 t=50309
yao yao gong zhu 	搖搖公主	c=1 d=6.10713e-23 t=50309
yao yong 	要用	c=1 d=2.96953e-40 t=50309
yao zou 	要走	c=1 d=6.30813e-51 t=50309
ye 	也	c=2 d=1.99977e-65 t=50309
ye 	夜	c=2 d=4.62454e-18 t=50309
ye 	爺	c=2 d=1.56533e-07 t=50309
ye 	耶	c=4 d=0.00673795 t=50309
ye 	頁	c=49 d=0.00131467 t=50309
ye ba 	也把	c=1 d=2.39571e-102 t=50309
ye ba 	也罷	c=4 d=1.33479e-15 t=50309
ye bi 	也比	c=1 d=1.28368e-85 t=50309
ye bu hui 	也不會	c=3 d=0.00144449 t=50309
ye bu neng 	也不能	c=1 d=4.67303e-80 t=50309
ye bu xing 	也不行	c=1 d=6.11669e-12 t=50309
ye de 	也得	c=3 d=9.90355e-34 t=50309
ye dui 	也對	c=1 d=1.36001e-88 t=50309
ye hao 	也好	c=1 d=8.83041e-67 t=50309
ye hen 	也很	c=1 d=1.65143e-78 t=50309
ye hui 	也會	c=3 d=0.0133665 t=50309
ye ji 	業績	c=1 d=7.34196e-13 t=50309
ye jian 	夜間	c=2 d=1.77804e-57 t=50309
ye jiao 	也叫	c=1 d=2.84282e-27 t=50309
ye jie 	業界	c=1 d=2.5695e-73 t=50309
ye jiu 	也就	c=4 d=7.10894e-74 t=50309
ye jiu shi 	也就是	c=6 d=5.09304e-08 t=50309
ye ke yi 	也可以	c=1 d=9.80699e-07 t=50309
ye kuai 	也快	c=1 d=6.18954e-63 t=50309
ye ma 	頁碼	c=1 d=4.71437e-66 t=50309
ye mang 	也忙	c=1 d=7.70739e-55 t=50309
ye mang 	夜盲	c=1 d=7.66895e-55 t=50309
ye mei 	也沒	c=2 d=1.08325e-29 t=50309
ye mei you 	也沒有	c=1 d=6.40041e-16 t=50309
ye men 	爺們	c=1 d=1.20007e-29 t=50309
ye mian 	頁面	c=1 d=9.53468e-58 t=50309
ye nei 	業內	c=1 d=5.83306e-71 t=50309
ye neng 	也能	c=7 d=0.891366 t=50309
ye qu 	夜曲	c=1 d=2.00045e-69 t=50309
ye shi 	也是	c=43 d=0.0114643 t=50309
ye suan 	也算	c=1 d=5.59976e-32 t=50309
ye wu 	業務	c=177 d=0.00177888 t=50309
ye xiang 	也想	c=1 d=3.05362e-45 t=50309
ye xing 	也行	c=12 d=1.20757e-13 t=50309
ye yao 	也要	c=11 d=0.0424257 t=50309
ye ye 	爺爺	c=3 d=8.73688e-30 t=50309
ye yi yang 	也一樣	c=1 d=5.63262e-42 t=50309
ye you 	也有	c=14 d=1.24964e-06 t=50309
ye zai 	也在	c=2 d=7.3415e-71 t=50309
ye zhi shi 	也只是	c=1 d=1.30016e-88 t=50309
ye zi 	葉子	c=4 d=3.17014e-15 t=50309
yi 	一	c=38 d=1.80176e-11 t=50309
yi 	亦	c=2 d=1.72806e-49 t=50309
yi 	以	c=4 d=1.97927e-20 t=50309
yi 	億	c=2 d=2.6334e-09 t=50309
yi 	已	c=18 d=0.299806 t=50309
yi 	意	c=1 d=8.48676e-100 t=50309
yi 	易	c=1 d=6.20536e-93 t=50309
yi 	異	c=2 d=7.74798e-72 t=50309
yi 	義	c=1 d=5.53914e-51 t=50309
yi 	遺	c=1 d=2.26888e-21 t=50309
yi ban 	一半	c=4 d=0.00548905 t=50309
yi ban 	一版	c=4 d=1.02207e-35 t=50309
yi ban 	一班	c=1 d=0.00271219 t=50309
yi ban 	一般	c=16 d=0.0105672 t=50309
yi ben 	一本	c=1 d=7.28701e-101 t=50309
yi bian 	一遍	c=3 d=1.93039e-32 t=50309
yi bian 	一邊	c=5 d=4.18212e-39 t=50309
yi bo 	一波	c=1 d=1.54865e-28 t=50309
yi bu 	一部	c=4 d=0.000367055 t=50309
yi bu 	異步	c=18 d=0.382355 t=50309
yi bu fen 	一部分	c=3 d=1.12758e-38 t=50309
yi ceng 	一層	c=5 d=9.88391e-15 t=50309
yi chang 	異常	c=42 d=3.39827e-09 t=50309
yi chu 	一處	c=1 d=2.83741e-34 t=50309
yi ci 	一次	c=26 d=0.436902 t=50309
yi ci 	依次	c=1 d=7.32301e-12 t=50309
yi ci xing 	一次性	c=1 d=9.46102e-55 t=50309
yi ci yuan 	異次元	c=1 d=7.25261e-16 t=50309
yi dan 	一旦	c=2 d=2.83307e-16 t=50309
yi deng 	一等	c=1 d=5.76913e-59 t=50309
yi di lian 	異地戀	c=1 d=0.00442715 t=50309
yi dian 	一點	c=17 d=1.03357e-05 t=50309
yi dian dian 	一點點	c=2 d=3.45727e-35 t=50309
yi ding 	一定	c=7 d=4.13066e-11 t=50309
yi dong 	易懂	c=1 d=3.6994e-96 t=50309
yi dong 	移動	c=12 d=7.76831e-15 t=50309
yi dong dao 	移動到	c=1 d=2.79157e-107 t=50309
yi dong duan 	移動端	c=1 d=1.84037e-29 t=50309
yi duan 	一段	c=3 d=2.70786e-94 t=50309
yi dui 	一堆	c=2 d=1.39286e-16 t=50309
yi fang 	一方	c=1 d=1.1393e-93 t=50309
yi fen 	一份	c=5 d=0.217621 t=50309
yi fen zhong 	一分鐘	c=2 d=3.44306e-16 t=50309
yi fu 	衣服	c=5 d=0.000308348 t=50309
yi ge 	一個	c=129 d=1.41136 t=50309
yi ge ban yue 	一個半月	c=1 d=5.68807e-69 t=50309
yi ge ge 	一個個	c=1 d=1.4083e-28 t=50309
yi ge ren 	一個人	c=6 d=0.0156164 t=50309
yi ge yue 	一個月	c=4 d=4.33901e-48 t=50309
yi gen 	一根	c=1 d=2.3395e-58 t=50309
yi gong 	一共	c=2 d=3.08159e-64 t=50309
yi ha 	一哈	c=7 d=1.99473e-06 t=50309
yi hang 	一行	c=9 d=1.71634e-07 t=50309
yi hou 	以後	c=40 d=1.90981e-05 t=50309
yi hui 	一會	c=6 d=0.0315058 t=50309
yi huo 	異或	c=1 d=5.53519e-72 t=50309
yi huo 	疑惑	c=2 d=2.27376e-35 t=50309
yi ji 	一記	c=1 d=3.14759e-78 t=50309
yi ji 	以及	c=13 d=1.2778e-31 t=50309
yi jian 	一鍵	c=2 d=8.54031e-27 t=50309
yi jian 	意見	c=2 d=8.58312e-27 t=50309
yi jian shi qing 	一件事情	c=1 d=9.8619e-102 t=50309
yi jin 	一斤	c=4 d=0.704688 t=50309
yi jing 	已經	c=29 d=0.953563 t=50309
yi jiu 	依舊	c=5 d=0.136014 t=50309
yi ju hua 	一句話	c=5 d=3.26876e-88 t=50309
yi kai shi 	一開始	c=5 d=0.0132428 t=50309
yi kan 	一看	c=5 d=2.3287e-33 t=50309
yi ke 	一顆	c=1 d=1.95923e-30 t=50309
yi kuai 	一塊	c=2 d=1.38615e-18 t=50309
yi lai 	一來	c=1 d=4.657e-69 t=50309
yi lai 	以來	c=1 d=5.71658e-69 t=50309
yi lai 	依賴	c=12 d=2.11852e-35 t=50309
yi lai bao 	依賴包	c=1 d=7.97464e-103 t=50309
yi li 	毅力	c=1 d=6.8349e-24 t=50309
yi lian 	一臉	c=0 d=2.82653e-78 t=50309
yi lian meng bi 	一臉矇蔽	c=1 d=2.84071e-77 t=50309
yi lie 	一列	c=1 d=1.55456e-15 t=50309
yi lou 	一樓	c=1 d=1.75318e-105 t=50309
yi mian 	以免	c=3 d=3.60902e-11 t=50309
yi miao 	一秒	c=2 d=9.21333e-88 t=50309
yi miao 	疫苗	c=8 d=1.24223e-31 t=50309
yi mo yi yang 	一模一樣	c=2 d=0.25924 t=50309
yi nei 	以內	c=2 d=0.554327 t=50309
yi nian 	一年	c=5 d=1.18095e-37 t=50309
yi nian 	一念	c=7 d=1.15471e-37 t=50309
yi niu 	一扭	c=2 d=6.97115e-72 t=50309
yi peng 	一碰	c=1 d=1.76719e-81 t=50309
yi pi 	一匹	c=2 d=8.80795e-40 t=50309
yi pi 	一批	c=11 d=0.0092399 t=50309
yi pian 	一篇	c=1 d=2.60019e-95 t=50309
yi qi 	一起	c=61 d=0.667356 t=50309
yi qian 	以前	c=36 d=0.00094029 t=50309
yi qie 	一切	c=4 d=3.74597e-08 t=50309
yi qing 	疫情	c=2 d=2.87883e-28 t=50309
yi quan 	一圈	c=1 d=6.55106e-25 t=50309
yi ren 	一人	c=1 d=1.78769e-99 t=50309
yi ren 	一任	c=2 d=6.91087e-07 t=50309
yi shang 	以上	c=14 d=3.137e-09 t=50309
yi shang wu 	一上午	c=2 d=5.81838e-12 t=50309
yi shen 	一身	c=2 d=0.444858 t=50309
yi shen he 	一審覈	c=1 d=4.63945e-54 t=50309
yi sheng 	一聲	c=3 d=2.55329e-28 t=50309
yi shou 	一手	c=3 d=3.40348e-27 t=50309
yi shou 	一首	c=6 d=1.34803e-07 t=50309
yi shou ge 	一首歌	c=1 d=1.7655e-11 t=50309
yi shu 	藝術	c=1 d=3.79729e-21 t=50309
yi shui 	一睡	c=1 d=0.000376347 t=50309
yi shuo 	一說	c=1 d=1.78598e-29 t=50309
yi si 	意思	c=45 d=0.406928 t=50309
yi tai 	一臺	c=1 d=1.26836e-32 t=50309
yi tao 	一套	c=3 d=1.21382e-15 t=50309
yi ti 	一題	c=1 d=1.3652e-74 t=50309
yi tian 	一天	c=18 d=0.146965 t=50309
yi tian tian 	一天天	c=1 d=6.70049e-55 t=50309
yi tiao 	一條	c=2 d=4.30889e-08 t=50309
yi tiao 	一調	c=1 d=1.03555e-58 t=50309
yi tuo 	一坨	c=1 d=4.55625e-47 t=50309
yi wai 	以外	c=3 d=8.7458e-42 t=50309
yi wai 	意外	c=1 d=2.52213e-60 t=50309
yi wan cheng 	已完成	c=2 d=2.49754e-33 t=50309
yi wang 	遺忘	c=1 d=4.05826e-97 t=50309
yi wei 	一維	c=2 d=1.04846e-86 t=50309
yi wei 	以爲	c=18 d=0.000172521 t=50309
yi wen 	一吻	c=1 d=0.000176005 t=50309
yi xi lie 	一系列	c=2 d=9.77076e-81 t=50309
yi xia 	一下	c=98 d=0.844278 t=50309
yi xia 	以下	c=1 d=1 t=50264
yi xia wu 	一下午	c=1 d=7.1059e-99 t=50309
yi xia zi 	一下子	c=1 d=9.13844e-88 t=50309
yi xiang 	一項	c=2 d=3.61763e-39 t=50309
yi xiao 	一笑	c=1 d=9.57789e-23 t=50309
yi xie 	一些	c=14 d=4.80363e-34 t=50309
yi yan 	一眼	c=5 d=7.69454e-06 t=50309
yi yang 	一樣	c=46 d=5.45537e-08 t=50309
yi yang de 	一樣的	c=1 d=1.86077e-41 t=50309
yi yi 	一億	c=1 d=0.524663 t=50309
yi yi 	意義	c=3 d=1.62062e-73 t=50309
yi you 	已有	c=1 d=3.12168e-69 t=50309
yi yuan 	醫院	c=2 d=6.26316e-54 t=50309
yi yue fen 	一月份	c=1 d=4.2915e-78 t=50309
yi zhan 	一站	c=1 d=1.74788e-40 t=50309
yi zhan shi 	一站式	c=2 d=3.87956e-89 t=50309
yi zhang 	一張	c=2 d=8.62321e-23 t=50309
yi zhang 	一章	c=2 d=3.16754e-75 t=50309
yi zhen 	一陣	c=1 d=4.67398e-53 t=50309
yi zhen zi 	一陣子	c=2 d=3.60424e-46 t=50309
yi zheng tao 	一整套	c=1 d=9.75081e-57 t=50309
yi zhi 	一直	c=8 d=3.51023e-08 t=50309
yi zhi 	一致	c=21 d=3.62031e-08 t=50309
yi zhi 	移植	c=1 d=2.44086e-57 t=50309
yi zhong 	一種	c=9 d=6.87757e-09 t=50309
yi zhou 	一週	c=3 d=3.96303e-53 t=50309
yi zhou nian 	一週年	c=1 d=2.41961e-13 t=50309
yi zhuan 	一轉	c=1 d=3.59335e-48 t=50309
yi zi 	椅子	c=1 d=3.14565e-12 t=50309
yi zu 	一組	c=2 d=4.92817e-29 t=50309
yin 	寅	c=3 d=0.00970386 t=50309
yin 	音	c=1 d=1.87009e-41 t=50309
yin cang 	隱藏	c=2 d=2.95522e-42 t=50309
yin fa 	引發	c=1 d=6.01518e-21 t=50309
yin hang 	銀行	c=1 d=1.6157e-56 t=50309
yin hao 	引號	c=2 d=5.95007e-40 t=50309
yin liang 	音量	c=1 d=9.74749e-53 t=50309
yin pai 	銀牌	c=1 d=1.2323e-75 t=50309
yin qi 	引起	c=1 d=3.01954e-60 t=50309
yin ru 	引入	c=3 d=4.78644e-68 t=50309
yin shi 	飲食	c=1 d=4.02293e-53 t=50309
yin si 	隱私	c=1 d=3.97964e-14 t=50309
yin wei 	因爲	c=48 d=0.0147101 t=50309
yin xiang 	印象	c=3 d=1.24861e-46 t=50309
yin xiang 	音箱	c=1 d=4.78074e-54 t=50309
yin xiao 	音效	c=1 d=3.62082e-20 t=50309
yin yang shi 	陰陽師	c=3 d=2.1108e-52 t=50309
yin yong 	引用	c=7 d=6.83016e-39 t=50309
ying 	盈	c=1 d=9.32464e-90 t=50309
ying 	硬	c=1 d=0.00108086 t=50309
ying 	穎	c=5 d=0.017552 t=50309
ying 	贏	c=1 d=0.000426457 t=50309
ying bi 	硬幣	c=1 d=7.00032e-70 t=50309
ying da 	硬打	c=1 d=1.86882e-33 t=50309
ying gai 	應該	c=46 d=0.00299743 t=50309
ying gai shi 	應該是	c=1 d=3.94541e-30 t=50309
ying hua 	櫻花	c=3 d=6.1172e-68 t=50309
ying jian 	硬件	c=4 d=9.12652e-67 t=50309
ying le 	硬了	c=1 d=7.1495e-24 t=50309
ying le 	贏了	c=2 d=0.000122182 t=50309
ying pan 	硬盤	c=3 d=4.54845e-62 t=50309
ying ru 	映入	c=2 d=2.73345e-93 t=50309
ying she 	映射	c=1 d=2.80393e-12 t=50309
ying wen 	英文	c=4 d=1.85117e-39 t=50309
ying xiang 	影響	c=8 d=1.48125e-25 t=50309
ying xiao 	營銷	c=3 d=7.18769e-51 t=50309
ying ying 	嚶嚶	c=1 d=0.017552 t=50309
ying ying ying 	嚶嚶穎	c=1 d=1 t=49962
ying yong 	應用	c=11 d=9.43017e-46 t=50309
ying yu ke 	英語課	c=1 d=4.64103e-58 t=50309
yo 	喲	c=5 d=0.0401553 t=50309
yong 	勇	c=1 d=7.87514e-73 t=50309
yong 	用	c=11 d=1.45498e-98 t=50309
yong bu liao 	用不了	c=1 d=5.70668e-78 t=50309
yong bu shang 	用不上	c=1 d=2.39653e-106 t=50309
yong chu 	用處	c=1 d=6.37893e-94 t=50309
yong dao 	泳道	c=70 d=4.84423e-05 t=50309
yong dao 	用到	c=1 d=2.65334e-39 t=50309
yong de 	用得	c=1 d=1.80972e-96 t=50309
yong duo 	勇奪	c=1 d=5.18542e-10 t=50309
yong fa 	用法	c=9 d=1.69628e-11 t=50309
yong hao 	用好	c=1 d=1.23125e-65 t=50309
yong hu 	用戶	c=43 d=8.39743e-05 t=50309
yong hu ming 	用戶名	c=1 d=7.21252e-39 t=50309
